ID,EDAD,SEXO,CODIGO_DEPARTAMENTO,REGION,TIPO_PESCADOR,COBRO,MONTO,FECHA_CORTE,FECHA_PUBLICACION_PNDA
1731,25,M,02,ANCASH,EMBARCADO,1,700,20240228,20240404
1362,49,M,02,ANCASH,EMBARCADO,1,700,20240228,20240404
1238,46,M,02,ANCASH,EMBARCADO,1,700,20240228,20240404
354,59,M,02,ANCASH,EMBARCADO,1,700,20240228,20240404
463,58,M,02,ANCASH,EMBARCADO,1,700,20240228,20240404
266,25,M,02,ANCASH,EMBARCADO,1,700,20240228,20240404
225,26,M,02,ANCASH,EMBARCADO,1,700,20240228,20240404
161,36,M,02,ANCASH,EMBARCADO,1,700,20240228,20240404
160,27,M,02,ANCASH,EMBARCADO,1,700,20240228,20240404
624,38,M,02,ANCASH,EMBARCADO,1,700,20240228,20240404
858,35,F,02,ANCASH,EMBARCADO,1,700,20240228,20240404
859,32,M,02,ANCASH,EMBARCADO,1,700,20240228,20240404
872,42,M,02,ANCASH,EMBARCADO,1,700,20240228,20240404
353,37,M,02,ANCASH,EMBARCADO,1,700,20240228,20240404
1659,62,F,02,ANCASH,EMBARCADO,1,700,20240228,20240404
1476,39,F,02,ANCASH,EMBARCADO,1,700,20240228,20240404
1126,62,M,02,ANCASH,EMBARCADO,1,700,20240228,20240404
1200,68,M,02,ANCASH,EMBARCADO,1,700,20240228,20240404
1172,49,F,02,ANCASH,EMBARCADO,1,700,20240228,20240404
1028,21,M,02,ANCASH,EMBARCADO,1,700,20240228,20240404
1029,30,F,02,ANCASH,EMBARCADO,1,700,20240228,20240404
743,26,M,02,ANCASH,EMBARCADO,1,700,20240228,20240404
529,25,M,02,ANCASH,EMBARCADO,1,700,20240228,20240404
589,33,M,02,ANCASH,EMBARCADO,1,700,20240228,20240404
613,30,M,02,ANCASH,EMBARCADO,1,700,20240228,20240404
210,33,M,02,ANCASH,EMBARCADO,1,700,20240228,20240404
136,56,M,02,ANCASH,EMBARCADO,1,700,20240228,20240404
1787,21,M,02,ANCASH,EMBARCADO,1,700,20240228,20240404
1796,28,M,02,ANCASH,EMBARCADO,1,700,20240228,20240404
1726,26,M,02,ANCASH,EMBARCADO,1,700,20240228,20240404
1727,31,M,02,ANCASH,EMBARCADO,1,700,20240228,20240404
1728,23,M,02,ANCASH,EMBARCADO,1,700,20240228,20240404
1729,24,M,02,ANCASH,EMBARCADO,1,700,20240228,20240404
1189,33,M,02,ANCASH,EMBARCADO,1,700,20240228,20240404
1173,31,M,02,ANCASH,EMBARCADO,1,700,20240228,20240404
1121,24,F,02,ANCASH,EMBARCADO,1,700,20240228,20240404
1842,20,M,02,ANCASH,EMBARCADO,1,700,20240228,20240404
1027,33,M,02,ANCASH,EMBARCADO,1,700,20240228,20240404
162,41,M,02,ANCASH,EMBARCADO,1,700,20240228,20240404
403,43,M,02,ANCASH,EMBARCADO,1,700,20240228,20240404
1367,26,M,02,ANCASH,EMBARCADO,1,700,20240228,20240404
1067,53,M,02,ANCASH,EMBARCADO,1,700,20240228,20240404
1586,39,M,02,ANCASH,EMBARCADO,1,700,20240228,20240404
262,29,M,02,ANCASH,EMBARCADO,1,700,20240228,20240404
855,29,M,02,ANCASH,EMBARCADO,1,700,20240228,20240404
738,30,M,02,ANCASH,EMBARCADO,1,700,20240228,20240404
577,34,M,02,ANCASH,EMBARCADO,1,700,20240228,20240404
545,31,M,02,ANCASH,EMBARCADO,1,700,20240228,20240404
671,43,M,02,ANCASH,EMBARCADO,1,700,20240228,20240404
614,28,M,02,ANCASH,EMBARCADO,1,700,20240228,20240404
860,68,M,02,ANCASH,EMBARCADO,1,700,20240228,20240404
150,28,M,02,ANCASH,EMBARCADO,1,700,20240228,20240404
35510,41,M,02,ANCASH,EMBARCADO,1,700,20240228,20240404
1361,33,M,02,ANCASH,EMBARCADO,1,700,20240228,20240404
1473,44,F,02,ANCASH,EMBARCADO,1,700,20240228,20240404
1474,43,M,02,ANCASH,EMBARCADO,1,700,20240228,20240404
1472,38,M,02,ANCASH,EMBARCADO,1,700,20240228,20240404
938,34,M,02,ANCASH,EMBARCADO,1,700,20240228,20240404
1175,30,M,02,ANCASH,EMBARCADO,1,700,20240228,20240404
1122,47,M,02,ANCASH,EMBARCADO,1,700,20240228,20240404
35520,25,M,02,ANCASH,EMBARCADO,1,700,20240228,20240404
1725,43,M,02,ANCASH,EMBARCADO,1,700,20240228,20240404
479,52,M,02,ANCASH,EMBARCADO,1,700,20240228,20240404
591,45,M,02,ANCASH,EMBARCADO,1,700,20240228,20240404
1174,37,M,02,ANCASH,EMBARCADO,1,700,20240228,20240404
35530,37,M,02,ANCASH,EMBARCADO,1,700,20240228,20240404
1353,43,M,02,ANCASH,EMBARCADO,1,700,20240228,20240404
1251,55,M,02,ANCASH,EMBARCADO,1,700,20240228,20240404
35540,49,M,02,ANCASH,EMBARCADO,1,700,20240228,20240404
856,37,M,02,ANCASH,EMBARCADO,1,700,20240228,20240404
857,49,M,02,ANCASH,EMBARCADO,1,700,20240228,20240404
786,39,M,02,ANCASH,EMBARCADO,1,700,20240228,20240404
530,44,M,02,ANCASH,EMBARCADO,1,700,20240228,20240404
1230,52,M,02,ANCASH,EMBARCADO,1,700,20240228,20240404
1418,42,M,02,ANCASH,EMBARCADO,1,700,20240228,20240404
401,34,M,02,ANCASH,EMBARCADO,1,700,20240228,20240404
667,41,M,02,ANCASH,EMBARCADO,1,700,20240228,20240404
611,27,M,02,ANCASH,EMBARCADO,1,700,20240228,20240404
612,45,M,02,ANCASH,EMBARCADO,1,700,20240228,20240404
258,21,M,02,ANCASH,EMBARCADO,1,700,20240228,20240404
236,52,M,02,ANCASH,EMBARCADO,1,700,20240228,20240404
355,27,M,02,ANCASH,EMBARCADO,1,700,20240228,20240404
356,39,M,02,ANCASH,EMBARCADO,1,700,20240228,20240404
455,58,M,02,ANCASH,EMBARCADO,1,700,20240228,20240404
1383,48,M,02,ANCASH,EMBARCADO,1,700,20240228,20240404
1721,37,M,02,ANCASH,EMBARCADO,1,700,20240228,20240404
1766,59,M,02,ANCASH,EMBARCADO,1,700,20240228,20240404
1475,26,M,02,ANCASH,EMBARCADO,1,700,20240228,20240404
1582,45,M,02,ANCASH,EMBARCADO,1,700,20240228,20240404
937,48,M,02,ANCASH,EMBARCADO,1,700,20240228,20240404
1117,52,M,02,ANCASH,EMBARCADO,1,700,20240228,20240404
883,59,M,02,ANCASH,EMBARCADO,1,700,20240228,20240404
35550,54,M,02,ANCASH,EMBARCADO,1,700,20240228,20240404
35560,51,F,02,ANCASH,EMBARCADO,1,700,20240228,20240404
734,39,M,02,ANCASH,EMBARCADO,1,700,20240228,20240404
